"","grade","content"
"1","6",""
"2","10","영웅도 악당도 비열한놈도 쓸데없는 죽음도 없어서 좋았다. 그냥 유쾌하고 긴장감도 있는 그냥 재미있는영화"
"3","10","이건 제밋으면서 무서운 영화"
"4","10","재밌네요. 조정석님 연기잘하시네요!ㅋㅋ"
"5","9","평점 안주는 사람들이 제정신이 아니구나 하고 느끼게 하는 영화"
"6","10","지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!"
"7","4","평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용"
"8","8","조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다"
"9","8","드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요."
"10","10",""
"11","10",""
"12","9","그냥 재미있음!지루할 틈과 시간 없음."
"13","10","클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"14","9",""
"15","9","이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네"
"16","9","개봉전에는 기대 안 했는데 오늘 보고 빵빵 터졌어요. 터지면서도 짠내도 나고 현실 반영도 잘 된 것 같아요."
"17","10",""
"18","10","조정석 히트쳤어요"
"19","9",""
"20","8","조정석ㅋ 배우들 연기가 다 좋음~ 재밌게 보기 좋은 영화"
"21","10","배우들 연기도 탄탄하구 내용도 재밌구"
"22","10","가족 모두 함께 재미있게 봤네요^^중학생 아들 딸도 너무 재밌대요~~"
"23","8","재미있어요 아이들도  같이 봤는데엄지 척 하네요~~!!!"
"24","1","보고나서 뭐가 특별히 기억 나는건 없는데 보는내내 지루한줄은 몰랐네요. 시간이 뚝딱 흘러가는 느낌. 킬링타임용으로 추천해요."
"25","8","고민 하지 말고 보자.. 웃고 즐기는 영화"
"26","10","오늘 보고왔는데!!!! 진짜 완존 추천 영화에요!! 13살도 재밌게 봤네여~"
